,Address,Suburb,Price,Bedrooms,Bathrooms,Garage,Land_Area,Floor_Area,Build_Year,Cbd_Dist,Nearest_Stn,Nearest_Stn_Dist,Date_Sold,Postcode,Nearest_Sch,Nearest_Sch_Dist
0,1 Acorn Place,South Lake,565000,4,2,2,600,160,2003,18.3,Cockburn Central Station,1.8,09-2018,6164,Lakeland Senior High School,0.8
1,1 Addis Way,Wandi,365000,3,2,2,351,139,2013,26.9,Kwinana Station,4.9,02-2019,6167,Atwell College,5.5
2,1 Ainsley Court,Camillo,287000,3,1,1,719,86,1979,22.6,Challis Station,1.9,06-2015,6111,Kelmscott Senior High School,1.6
3,1 Albert Street,Bellevue,255000,2,1,2,651,59,1953,17.9,Midland Station,3.6,07-2018,6056,Swan View Senior High School,1.6
4,1 Aman Place,Lockridge,325000,4,1,2,466,131,1998,11.2,Bassendean Station,2.0,11-2016,6054,Kiara College,1.5
5,1 Amethyst Crescent,Mount Richon,409000,4,2,1,759,118,1991,27.3,Armadale Station,1.0,03-2013,6112,Armadale Senior High School,1.2
6,1 Ardara Lane,Hilbert,400000,3,2,2,386,132,2014,28.2,Armadale Station,3.7,05-2016,6112,Dale Christian School,2.5
7,1 Arnside Bend,Waikiki,370000,4,2,2,468,158,2013,41.7,Warnbro Station,1.1,03-2019,6169,South Coast Baptist College,0.5
8,1 Arrochar Court,Hamersley,565000,4,2,3,875,168,1983,12.1,Warwick Station,2.5,06-2020,6022,Warwick Senior High School,1.2
9,1 Arundel Street,Bayswater,685000,3,2,8,552,126,1999,5.9,Bayswater Station,0.5,10-2019,6053,Chisholm Catholic College,0.9
10,1 Ash Road,Carmel,675000,4,2,6,2538,241,1977,22.9,Madding,10.7,07-2014,6076,Carmel Adventist College,0.5
11,1 Ashcott Gate,Butler,367500,3,2,2,398,158,2003,36.3,Butler Station,2.1,11-2018,6036,Butler College,0.7
12,1 Ashcroft Way,Balga,300000,3,2,2,243,94,2008,11.5,Warwick Station,4.8,12-2019,6061,Balga Senior High School,0.2
13,1 Ashendon Boulevard,Hammond Park,535000,4,2,4,704,247,2002,23.1,Cockburn Central Station,3.9,07-2019,6164,Atwell College,2.2
14,1 Ashtree Boulevard,Wattle Grove,540000,4,2,2,614,186,2004,13.1,Madding,5.1,05-2018,6107,Rehoboth Christian College,3.2
15,1 August Court,Bull Creek,685000,3,2,3,706,196,1985,12.5,Murdoch Station,1.0,11-2017,6149,Leeming Senior High School,1.2
16,1 Avonlea Place,Bullsbrook,350000,4,2,2,663,154,1994,36.7,Midland Station,26.0,11-2017,6084,Holy Cross College,14.0
17,1 Babbler Court,Maida Vale,570000,4,2,2,568,225,2003,15.3,Midland Station,7.0,10-2020,6057,Darling Range Sports College,2.7
18,1 Balga Place,Koongamia,318000,2,1,3,751,90,1959,18.1,Midland Station,4.1,05-2013,6056,Swan View Senior High School,1.9
19,1 Bamlett Street,Mount Nasura,379000,3,2,3,785,167,1977,25.4,Challis Station,1.3,08-2017,6112,Sowilo Community High School,1.4
20,1 Banken Court,Forrestdale,387500,4,1,1,782,111,1981,23.3,Armadale Station,6.6,04-2017,6112,Carey Baptist College,4.2
21,1 Barcroft Court,Atwell,465000,4,2,2,450,173,2000,20.7,Cockburn Central Station,1.6,08-2017,6164,Atwell College,0.7
22,1 Bates Loop,Lockridge,325000,3,1,1,421,93,1972,11.8,Success Hill Station,1.9,08-2014,6054,Kiara College,1.9
23,1 Batoni Way,Ashby,515000,3,2,2,388,160,2007,25.0,Joondalup Station,3.3,09-2014,6065,Wanneroo Secondary College,3.1
24,1 Bayley Street,Woodbridge,610000,3,1,1,550,121,1920,14.6,Woodbridge Station,0.3,04-2013,6056,Governor Stirling Senior High School,0.5
25,1 Beach Street,Bicton,1950000,5,2,2,855,305,1981,10.8,North Fremantle Station,2.9,10-2018,6157,Santa Maria College,1.4
26,1 Beacon Way,Singleton,420000,4,2,2,600,295,2006,54.5,Mandurah Station,10.4,01-2015,6175,Comet Bay College,2.1
27,1 Belfry Way,Wattle Grove,492000,4,2,2,459,250,2012,14.1,Madding,5.1,11-2017,6107,Heritage College Perth,3.4
28,1 Bell Court,Armadale,201000,3,1,2,711,99,1985,27.5,Armadale Station,1.3,02-2019,6112,Armadale Senior High School,0.6
